Episode: 0	Total Reward: -6.0	Explore P: 0.9914	Training Loss: 174.0987	Buffer size: 151.0000
Episode: 1	Total Reward: -130.0	Explore P: 0.9817	Training Loss: 3.1041	Buffer size: 251.0000
Episode: 2	Total Reward: -130.0	Explore P: 0.9720	Training Loss: 6.2422	Buffer size: 351.0000
Episode: 3	Total Reward: -130.0	Explore P: 0.9624	Training Loss: 2.4996	Buffer size: 451.0000
Episode: 4	Total Reward: -130.0	Explore P: 0.9529	Training Loss: 3.4190	Buffer size: 551.0000
Episode: 5	Total Reward: -130.0	Explore P: 0.9436	Training Loss: 3.5547	Buffer size: 651.0000
Episode: 6	Total Reward: -125.0	Explore P: 0.9343	Training Loss: 2.5559	Buffer size: 751.0000
Episode: 7	Total Reward: 94.0	Explore P: 0.9336	Training Loss: 2.1178	Buffer size: 758.0000
Episode: 8	Total Reward: -130.0	Explore P: 0.9244	Training Loss: 10.7390	Buffer size: 858.0000
Episode: 9	Total Reward: 19.0	Explore P: 0.9179	Training Loss: 11.9114	Buffer size: 930.0000
Episode: 10	Total Reward: -120.0	Explore P: 0.9088	Training Loss: 7.6043	Buffer size: 1030.0000
Episode: 11	Total Reward: -120.0	Explore P: 0.8999	Training Loss: 5.7505	Buffer size: 1130.0000
Episode: 12	Total Reward: -125.0	Explore P: 0.8910	Training Loss: 13.7462	Buffer size: 1230.0000
Episode: 13	Total Reward: 93.0	Explore P: 0.8903	Training Loss: 4.1139	Buffer size: 1238.0000
Episode: 14	Total Reward: -125.0	Explore P: 0.8816	Training Loss: 22.3303	Buffer size: 1338.0000
Episode: 15	Total Reward: -120.0	Explore P: 0.8729	Training Loss: 29.6308	Buffer size: 1438.0000
Episode: 16	Total Reward: -125.0	Explore P: 0.8643	Training Loss: 3.4947	Buffer size: 1538.0000
Episode: 17	Total Reward: -125.0	Explore P: 0.8558	Training Loss: 14.7445	Buffer size: 1638.0000
Episode: 18	Total Reward: -125.0	Explore P: 0.8474	Training Loss: 94.6494	Buffer size: 1738.0000
Episode: 19	Total Reward: -125.0	Explore P: 0.8391	Training Loss: 19.4032	Buffer size: 1838.0000
Episode: 20	Total Reward: -125.0	Explore P: 0.8308	Training Loss: 20.1542	Buffer size: 1938.0000
Episode: 21	Total Reward: -125.0	Explore P: 0.8227	Training Loss: 24.0833	Buffer size: 2038.0000
Episode: 22	Total Reward: 66.0	Explore P: 0.8202	Training Loss: 14.6556	Buffer size: 2068.0000
Episode: 23	Total Reward: -135.0	Explore P: 0.8122	Training Loss: 7.5251	Buffer size: 2168.0000
Episode: 24	Total Reward: -130.0	Explore P: 0.8042	Training Loss: 7.3907	Buffer size: 2268.0000
