Wall time,Step,Value
1747395484.7716942,0,-6.0
1747395504.9130082,1,-130.0
1747395521.981691,2,-130.0
1747395539.6867719,3,-130.0
1747395557.903914,4,-130.0
1747395575.344125,5,-130.0
1747395593.250902,6,-125.0
1747395595.1477041,7,94.0
1747395613.023028,8,-130.0
1747395625.955502,9,19.0
1747395643.395228,10,-120.0
1747395660.346543,11,-120.0
1747395677.30026,12,-125.0
1747395678.781738,13,93.0
1747395696.258229,14,-125.0
1747395714.2269871,15,-120.0
1747395732.054057,16,-125.0
1747395750.557187,17,-125.0
1747395768.670544,18,-125.0
1747395785.7871392,19,-125.0
1747395804.52015,20,-125.0
1747395822.3420749,21,-125.0
1747395828.6507578,22,66.0
1747395846.386933,23,-135.0
1747395864.678634,24,-130.0
1747395880.5044749,25,-14.0
1747395900.385718,26,-120.0
1747395918.5651681,27,-125.0
1747395921.9581828,28,86.0
1747395930.4601622,29,51.0
1747395947.9909241,30,-125.0
1747395966.083393,31,-120.0
1747395971.072312,32,76.0
1747395988.751106,33,-130.0
1747395994.3012202,34,69.0
1747396012.359802,35,-125.0
1747396031.587992,36,-125.0
1747396049.408861,37,-125.0
1747396053.370879,38,80.0
1747396063.841268,39,33.0
1747396076.8370821,40,23.0
1747396094.257998,41,-120.0
1747396112.6540968,42,-125.0
1747396120.560399,43,50.0
1747396138.1026409,44,-125.0
1747396145.048595,45,63.0
1747396146.624017,46,93.0
1747396153.9550521,47,60.0
1747396158.547251,48,80.0
1747396177.056489,49,-125.0
1747396178.357145,50,94.0
1747396195.9731042,51,-125.0
1747396214.304553,52,-125.0
1747396220.570848,53,64.0
1747396233.5862641,54,23.0
1747396245.839385,55,19.0
1747396264.201196,56,-125.0
1747396266.186056,57,90.0
1747396284.360793,58,-125.0
1747396302.209148,59,-130.0
1747396320.931652,60,-120.0
1747396339.199782,61,-130.0
1747396357.585176,62,-120.0
1747396362.785428,63,71.0
1747396380.6918552,64,-125.0
1747396395.386571,65,14.0
1747396396.9889832,66,94.0
1747396418.261039,67,-125.0
1747396438.285213,68,-125.0
1747396443.1662579,69,71.0
1747396458.279596,70,-2.0
1747396464.121384,71,65.0
1747396481.017647,72,-120.0
1747396483.0582662,73,91.0
1747396488.3547552,74,73.0
1747396493.433837,75,71.0
1747396496.783985,76,85.0
1747396515.7885408,77,-23.0
1747396517.328775,78,93.0
1747396535.326835,79,-125.0
1747396552.0855522,80,-130.0
1747396559.744224,81,47.0
1747396576.3804328,82,-130.0
1747396593.026347,83,-125.0
1747396609.5825212,84,-125.0
1747396616.518806,85,52.0
1747396629.9182148,86,13.0
1747396636.727659,87,62.0
1747396653.794773,88,-130.0
1747396658.502665,89,71.0
1747396676.312882,90,-125.0
1747396679.950763,91,76.0
1747396686.770556,92,60.0
1747396703.404458,93,-130.0
1747396715.486191,94,14.0
1747396723.964768,95,41.0
1747396740.38338,96,-130.0
1747396756.675858,97,-125.0
1747396757.899335,98,95.0
1747396774.959608,99,-125.0
1747396782.4814131,100,48.0
1747396798.888612,101,-120.0
1747396800.6005461,102,91.0
1747396805.595701,103,69.0
1747396807.48809,104,92.0
1747396812.1091058,105,76.0
1747396822.4384818,106,30.0
1747396834.954977,107,13.0
1747396851.833799,108,-20.0
1747396853.230794,109,94.0
1747396865.332986,110,21.0
1747396873.691017,111,43.0
1747396874.7778041,112,95.0
1747396891.956654,113,-120.0
1747396893.040235,114,95.0
1747396896.987073,115,74.0
1747396898.26146,116,95.0
1747396908.553971,117,34.0
1747396918.604177,118,27.0
1747396933.729148,119,-15.0
1747396948.1797602,120,-5.0
1747396960.161773,121,16.0
1747396978.03182,122,-130.0
1747396984.301996,123,67.0
1747397000.928278,124,-2.0
1747397010.630611,125,40.0
1747397026.4910588,126,-13.0
1747397035.592315,127,39.0
1747397037.15506,128,92.0
1747397041.8358872,129,71.0
1747397043.866286,130,91.0
1747397054.4649432,131,32.0
1747397071.2389271,132,-130.0
1747397089.525727,133,-130.0
1747397091.388884,134,92.0
1747397110.0300312,135,-17.0
1747397127.777998,136,-125.0
1747397146.0268102,137,-125.0
1747397155.555069,138,41.0
1747397161.600249,139,66.0
1747397175.592684,140,4.0
1747397181.4727612,141,64.0
1747397197.9459991,142,-125.0
1747397216.215528,143,-130.0
1747397234.179009,144,-125.0
1747397236.0255501,145,92.0
1747397253.6332202,146,-125.0
1747397255.106306,147,93.0
1747397273.488529,148,-125.0
1747397284.1476438,149,37.0
1747397290.2675369,150,65.0
1747397299.935789,151,38.0
1747397301.6926022,152,92.0
1747397317.037867,153,1.0
1747397321.01403,154,73.0
1747397339.0762932,155,-125.0
1747397357.2030652,156,-125.0
1747397367.781661,157,27.0
1747397384.739936,158,-125.0
1747397394.943607,159,30.0
1747397396.078652,160,95.0
1747397407.370403,161,22.0
1747397425.542718,162,-120.0
1747397435.213645,163,39.0
1747397443.327005,164,44.0
1747397444.382117,165,95.0
1747397463.039756,166,-130.0
1747397470.7717052,167,49.0
1747397472.413436,168,92.0
1747397483.2642932,169,27.0
1747397495.075244,170,19.0
1747397496.893472,171,91.0
1747397514.307735,172,-130.0
1747397519.0177128,173,68.0
1747397521.004029,174,92.0
1747397526.4188359,175,68.0
1747397528.2666502,176,92.0
1747397546.9672441,177,-125.0
1747397563.493936,178,-16.0
1747397571.8630521,179,49.0
1747397586.497823,180,-5.0
1747397592.524378,181,64.0
1747397598.7684522,182,57.0
1747397613.675572,183,-8.0
1747397630.379929,184,-120.0
1747397636.538135,185,63.0
1747397643.822797,186,50.0
1747397652.6578188,187,41.0
1747397660.582964,188,47.0
1747397677.091991,189,-125.0
1747397689.098869,190,17.0
1747397702.506433,191,12.0
1747397719.6846058,192,-125.0
1747397737.243794,193,-130.0
1747397750.111317,194,13.0
1747397758.8904488,195,41.0
1747397760.048914,196,95.0
1747397772.730305,197,15.0
1747397785.323959,198,12.0
1747397795.339373,199,42.0
1747397812.283162,200,-125.0
1747397814.723416,201,87.0
1747397818.6957068,202,76.0
1747397832.648208,203,1.0
1747397833.772362,204,95.0
1747397842.6857011,205,42.0
1747397843.79147,206,95.0
1747397852.156481,207,48.0
1747397869.8870149,208,-125.0
1747397884.684729,209,-5.0
1747397895.623816,210,23.0
1747397912.326406,211,-125.0
1747397915.71296,212,76.0
1747397932.953834,213,-24.0
1747397949.602578,214,-125.0
1747397954.5365682,215,69.0
1747397955.960764,216,95.0
1747397973.2854002,217,-130.0
1747397984.451849,218,21.0
1747397997.066169,219,12.0
1747398013.792171,220,-130.0
1747398022.064898,221,50.0
1747398023.358614,222,94.0
1747398040.475608,223,-125.0
1747398055.482257,224,-8.0
1747398057.121826,225,92.0
1747398064.780266,226,50.0
1747398070.660171,227,66.0
1747398083.8915079,228,24.0
1747398101.5540931,229,-120.0
1747398113.229247,230,24.0
1747398125.2585778,231,21.0
1747398129.494781,232,75.0
1747398148.4342551,233,-125.0
1747398154.9471328,234,57.0
1747398156.5068438,235,93.0
1747398157.655217,236,95.0
1747398172.0692742,237,0.0
1747398190.60641,238,-125.0
1747398192.101656,239,94.0
1747398210.2723808,240,-130.0
1747398214.192946,241,76.0
1747398219.694168,242,74.0
